code,label,chamber,phase,incoming,outgoing,notes
CLOTURE_INVOKED,Cloture invoked,Senate,Floor debate,CLOTURE_FILED,VOTE_SCHEDULED|PASSED_SENATE,"The Senate voted to limit debate, making final action more likely and timing more predictable."
CLOTURE_REJECTED,Cloture rejected,Senate,Floor debate,CLOTURE_FILED,MOTION_TO_PROCEED|AMENDMENT_PENDING,"The Senate failed to limit debate, leaving the matter stalled unless leaders negotiate another path."
VOTE_SCHEDULED,Vote scheduled,Senate,Floor timing,MOTION_TO_PROCEED|AMENDMENT_PENDING|CLOTURE_FILED|CLOTURE_INVOKED,PASSED_SENATE|CLOTURE_INVOKED|CLOTURE_REJECTED,A vote window has been announced; staffing and live coverage should be planned around it.
PASSED_SENATE,Passed Senate,Senate,Passage,VOTE_SCHEDULED|CLOTURE_INVOKED,HOUSE_MESSAGE|CONFERENCE_REQUESTED|ENROLLED_BILL,The Senate has passed the measure or agreed to a dispositive action.
PASSED_HOUSE,Passed House,House,Passage,VOTE_SCHEDULED,HOUSE_MESSAGE|CONFERENCE_REQUESTED|ENROLLED_BILL,The House has passed the measure or agreed to a dispositive action.
CONFERENCE_REQUESTED,Conference requested,Joint,Resolving differences,PASSED_SENATE|PASSED_HOUSE|HOUSE_MESSAGE,CONFEREES_APPOINTED,One chamber is asking for a formal House-Senate conference to resolve differences.
CONFEREES_APPOINTED,Conferees appointed,Joint,Resolving differences,CONFERENCE_REQUESTED,CONFERENCE_REPORT_FILED,Members have been named to negotiate a conference report.
CONFERENCE_REPORT_FILED,Conference report filed,Joint,Resolving differences,CONFEREES_APPOINTED,CONFERENCE_REPORT_AGREED|VOTE_SCHEDULED,Negotiators have produced a final compromise text for chamber approval.
CONFERENCE_REPORT_AGREED,Conference report agreed to,Joint,Resolving differences,CONFERENCE_REPORT_FILED,ENROLLED_BILL,The chamber has adopted the conference report; both chambers must clear it before enrollment.
ENROLLED_BILL,Enrolled bill,Congress,Enrollment,PASSED_SENATE|PASSED_HOUSE|CONFERENCE_REPORT_AGREED,PRESENTED_PRESIDENT,The final passed text is being prepared for presidential presentation.
PRESENTED_PRESIDENT,Presented to President,Executive,Presidential action,ENROLLED_BILL,SIGNED_PRESIDENT|VETOED,The enrolled bill has been sent to the President for signature or veto decision.
SIGNED_PRESIDENT,Signed by President,Executive,Enactment,PRESENTED_PRESIDENT,,The President has signed the measure; it becomes law.
VETOED,Vetoed,Executive,Presidential action,PRESENTED_PRESIDENT,VETO_OVERRIDE,The President has rejected the measure and returned it or issued a veto message.
VETO_OVERRIDE,Veto override,Congress,Presidential action,VETOED,SIGNED_PRESIDENT,The chamber is attempting or has completed a constitutionally required two-thirds override vote.
QUORUM_CALL,Quorum call,Senate,Floor timing,,RECESS|VOTE_SCHEDULED|MOTION_TO_PROCEED,"A quorum call is often a holding pattern or timing device; by itself it is procedural noise unless paired with another action."
RECESS,Recess,Senate,Floor timing,,MOTION_TO_PROCEED|VOTE_SCHEDULED,"A recess pauses floor proceedings; by itself it is routine timing information unless paired with a vote or leadership announcement."
